#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus
ASV_17384	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	CAG-352
ASV_9431	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_23209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_2020	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_17537	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
ASV_10897	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_10155	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_16299	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_4498	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_13621	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_9395	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_9705	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_10304	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_889	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinimonas
ASV_17915	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_20933	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_16853	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_5099	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
ASV_442	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
ASV_11128	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_13011	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
ASV_15732	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_673	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_4516	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group
ASV_690	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_10790	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002
ASV_1642	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas
ASV_15370	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_17343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_11905	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_7931	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-008
ASV_9662	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_17255	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_22431	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_7425	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_7233	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_5636	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009
ASV_6882	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39		
ASV_10096	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_11925	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium
ASV_6345	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_2022	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_2655	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_9085	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
ASV_4538	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
ASV_17761	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_3972	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium0
ASV_1489	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_9707	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ruminantium group
ASV_2418	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
ASV_20026	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_17996	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_5237	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_22139	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_6367	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_12348	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		
ASV_5569	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
ASV_12121	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_17940	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_7196	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_16659	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_21073	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_2545	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales UCG-001	
ASV_5612	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_4299	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_3879	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
